fecha,entidad_id,mora_120d,mora_30d,mora_60d,mora_90d,morosidad_contable
2015-04-30,RIPLEY,1.842533,6.222069,4.349540,2.945028,3.590000
2015-04-30,SANTANDER,0.423097,0.498307,0.430678,0.430642,0.440000
2015-04-30,SCOTIABANK,1.901520,2.697857,2.389206,2.149316,2.700000
2015-05-31,ALFIN,4.141408,23.769255,14.599731,8.494021,11.290000
2015-05-31,BANCOM,4.894157,6.565898,5.686548,5.296459,6.340000
2015-05-31,BBVA,1.978994,3.470969,2.597579,2.134800,2.470000
2015-05-31,BCP,1.491849,2.609218,2.086004,1.772206,2.360000
2015-05-31,BIF,1.245246,2.342267,1.742375,1.521560,1.690000
2015-05-31,CENCOSUD,2.290746,9.482344,6.893580,5.040029,5.950000
2015-05-31,FALABELLA,2.652974,6.144590,4.421082,3.440672,3.890000
2015-05-31,GNB,1.606854,3.089252,2.362220,1.923227,2.170000
2015-05-31,INTERBANK,1.734127,3.228776,2.525802,2.103867,2.310000
2015-05-31,MIBANCO,3.618772,6.735304,5.265655,4.287332,6.540000
2015-05-31,PICHINCHA,2.616887,3.793846,3.241018,2.966155,3.820000
2015-05-31,RIPLEY,2.002698,6.170403,4.364258,3.151097,3.670000
2015-05-31,SANTANDER,0.440130,0.514216,0.444077,0.440171,0.500000
2015-05-31,SCOTIABANK,2.048858,2.898167,2.587013,2.375054,2.920000
2015-06-30,ALFIN,4.108204,24.423462,15.461994,8.865568,11.760000
2015-06-30,BANCOM,4.505505,5.904867,5.262664,4.812346,5.320000
2015-06-30,BBVA,1.778693,3.178929,2.543118,1.976651,2.310000
2015-06-30,BCP,1.583980,2.728573,2.170455,1.838924,2.430000
2015-06-30,BIF,1.278836,2.383358,1.928701,1.575991,1.730000
2015-06-30,CENCOSUD,2.813903,9.065719,6.458075,4.367460,5.330000
2015-06-30,FALABELLA,2.730942,6.140338,4.477660,3.470624,3.920000
2015-06-30,GNB,1.620605,3.023465,2.306101,1.909911,2.020000
2015-06-30,INTERBANK,1.730866,3.353125,2.641291,2.154783,2.410000
2015-06-30,MIBANCO,3.640571,6.768458,5.400905,4.386809,6.570000
2015-06-30,PICHINCHA,2.712384,4.021662,3.531796,3.042024,3.860000
2015-06-30,RIPLEY,2.064966,5.827349,4.240103,3.059863,3.530000
2015-06-30,SANTANDER,0.426237,0.442958,0.430442,0.430118,0.460000
2015-06-30,SCOTIABANK,2.186040,3.025333,2.696257,2.456699,3.090000
2015-07-31,ALFIN,4.533717,23.768699,15.351265,9.447724,12.220000
2015-07-31,BANCOM,4.731718,5.838891,5.356342,5.029120,5.380000
2015-07-31,BBVA,1.849571,3.431514,2.523507,2.060744,2.460000
2015-07-31,BCP,1.593387,2.755646,2.155102,1.835921,2.460000
2015-07-31,BIF,1.238781,2.261230,1.760920,1.628893,1.770000
2015-07-31,CENCOSUD,2.265625,8.372598,5.882977,4.212282,5.050000
2015-07-31,FALABELLA,2.782873,6.039865,4.497326,3.558528,3.970000
2015-07-31,GNB,1.596271,2.866438,2.166281,1.831827,2.080000
2015-07-31,ICBC,,,,,3.650000
2015-07-31,INTERBANK,1.773072,3.273625,2.600600,2.207501,2.410000
2015-07-31,MIBANCO,3.820251,6.752458,5.475443,4.535103,6.610000
2015-07-31,PICHINCHA,2.734033,4.140218,3.571498,3.237005,4.220000
2015-07-31,RIPLEY,1.859187,5.288913,3.808234,2.811964,3.240000
2015-07-31,SANTANDER,0.411471,0.446356,0.422455,0.411497,0.440000
2015-07-31,SCOTIABANK,2.129583,2.982754,2.652587,2.449539,2.990000
2015-08-31,ALFIN,4.965934,22.709606,14.656495,9.233748,11.820000
2015-08-31,BANCOM,4.841895,5.880173,5.345985,5.067948,5.340000
2015-08-31,BBVA,1.955156,3.628938,2.819155,2.157019,2.540000
2015-08-31,BCP,1.559959,2.715140,2.161700,1.811223,2.390000
2015-08-31,BIF,1.366247,2.216131,1.663839,1.527067,1.700000
2015-08-31,CENCOSUD,2.693554,8.745852,6.777935,4.614003,5.440000
2015-08-31,FALABELLA,2.870779,6.092016,4.568299,3.622666,4.010000
2015-08-31,GNB,1.546933,2.944261,2.136578,1.754779,1.960000
2015-08-31,ICBC,,3.225779,,,3.230000
2015-08-31,INTERBANK,1.825947,3.296854,2.581189,2.201576,2.450000
2015-08-31,MIBANCO,3.978512,6.682676,5.554702,4.672765,6.520000
2015-08-31,PICHINCHA,2.939508,4.121446,3.612822,3.274699,4.080000
2015-08-31,RIPLEY,1.829311,5.212106,3.659779,2.662210,3.060000
2015-08-31,SANTANDER,0.411069,0.420226,0.420201,0.420141,0.420000
2015-08-31,SCOTIABANK,2.106819,2.917686,2.590336,2.371916,2.920000
2015-09-30,ALFIN,5.212916,22.118118,14.055091,9.099033,11.580000
2015-09-30,BANCOM,4.492774,5.445840,4.987161,4.695586,4.870000
2015-09-30,BBVA,1.896011,3.295925,2.695759,2.106742,2.410000
2015-09-30,BCP,1.563611,2.691288,2.149454,1.838668,2.360000
2015-09-30,BIF,1.387505,2.362779,1.798516,1.595376,1.750000
2015-09-30,CENCOSUD,2.366743,8.552059,5.833334,4.255647,5.130000
2015-09-30,FALABELLA,2.948892,6.298211,4.689195,3.724162,4.120000
2015-09-30,GNB,1.503349,3.011080,2.225795,1.772036,1.980000
2015-09-30,ICBC,,3.528791,3.528791,,3.530000
2015-09-30,INTERBANK,1.752962,3.211589,2.511355,2.102283,2.320000
2015-09-30,MIBANCO,3.024022,5.648582,4.518627,3.704180,5.470000
2015-09-30,PICHINCHA,2.792350,3.980397,3.531586,3.175216,3.970000
2015-09-30,RIPLEY,1.475502,5.057851,3.404068,2.323745,2.740000
2015-09-30,SANTANDER,0.422354,0.425596,0.422386,0.422386,0.500000
2015-09-30,SCOTIABANK,1.931789,2.790189,2.461464,2.233582,2.780000
2015-10-31,ALFIN,5.568404,21.951602,14.390957,9.344758,11.150000
2015-10-31,BANCOM,4.670717,5.994361,5.210212,4.880954,5.300000
2015-10-31,BBVA,1.965405,3.362086,2.686552,2.175688,2.480000
2015-10-31,BCP,1.610569,2.776284,2.184715,1.875717,2.470000
2015-10-31,BIF,1.328850,2.264473,1.799544,1.601947,1.720000
2015-10-31,CENCOSUD,2.359602,8.829148,6.029503,4.228658,5.190000
2015-10-31,FALABELLA,2.986433,6.526879,4.796182,3.780411,4.200000
2015-10-31,GNB,1.346714,2.816054,2.087760,1.658247,1.850000
2015-10-31,ICBC,,3.415185,3.415185,3.415185,3.420000
2015-10-31,INTERBANK,1.638134,3.046933,2.420016,1.986798,2.200000
2015-10-31,MIBANCO,3.100145,5.600190,4.496346,3.654522,5.430000
2015-10-31,PICHINCHA,2.771359,3.759773,3.438638,3.178852,3.870000
2015-10-31,RIPLEY,1.463587,5.195264,3.502844,2.363237,2.790000
2015-10-31,SANTANDER,0.426981,0.507180,0.431247,0.426981,0.510000
2015-10-31,SCOTIABANK,2.062247,2.982077,2.604607,2.369684,3.000000
2015-11-30,ALFIN,5.355307,22.201921,14.474837,9.223290,11.120000
2015-11-30,BANCOM,3.046090,4.606519,3.844082,3.283643,3.750000
2015-11-30,BBVA,1.694237,3.245886,2.498601,1.901852,2.240000
2015-11-30,BCP,1.607221,2.857424,2.207711,1.862138,2.530000
2015-11-30,BIF,1.316949,2.273133,1.781662,1.573547,1.740000
2015-11-30,CENCOSUD,2.100723,8.640930,5.908153,3.657542,4.730000
2015-11-30,FALABELLA,3.060765,6.780715,4.981630,3.882021,4.300000
2015-11-30,GNB,1.407281,2.859178,2.093775,1.719896,1.940000
2015-11-30,ICBC,3.746778,3.746778,3.746778,3.746778,3.750000
2015-11-30,INTERBANK,1.638392,3.215190,2.538457,2.070747,2.320000
2015-11-30,MIBANCO,2.732289,5.221068,4.187266,3.302722,5.040000
2015-11-30,PICHINCHA,2.762051,4.002996,3.418673,3.170229,3.870000
2015-11-30,RIPLEY,0.676055,4.150682,2.643108,1.566592,1.960000
2015-11-30,SANTANDER,0.412391,0.424733,0.417615,0.414400,0.420000
2015-11-30,SCOTIABANK,2.162582,3.100389,2.745609,2.478208,3.070000
2015-12-31,ALFIN,5.134893,21.974465,14.514805,9.102708,11.000000
2015-12-31,BANCOM,2.808880,4.368827,3.576406,3.255770,3.460000
2015-12-31,BBVA,1.680799,3.151296,2.377365,1.847081,2.170000
2015-12-31,BCP,1.600657,2.745318,2.183371,1.880868,2.430000
2015-12-31,BIF,1.329821,2.308299,1.765125,1.588233,1.770000
2015-12-31,CENCOSUD,1.994726,7.755022,5.503909,3.944340,4.720000
2015-12-31,FALABELLA,3.027231,6.299536,4.864267,3.895791,4.240000
2015-12-31,GNB,1.466007,2.922961,2.057797,1.684312,2.000000
2015-12-31,ICBC,3.483378,3.483378,3.483378,3.483378,3.480000
2015-12-31,INTERBANK,1.716261,3.227018,2.590750,2.178399,2.350000
2015-12-31,MIBANCO,2.575129,4.958148,3.943512,3.184850,4.810000
2015-12-31,PICHINCHA,2.853759,3.803013,3.408486,3.198533,3.860000
2015-12-31,RIPLEY,1.255524,4.595686,3.128559,2.135319,2.490000
2015-12-31,SANTANDER,0.370334,0.557352,0.370372,0.370356,0.440000
2015-12-31,SCOTIABANK,2.074082,2.969340,2.672906,2.433264,2.890000
2016-01-31,ALFIN,5.055781,22.277323,14.563639,9.219854,11.200000
2016-01-31,BANCOM,3.095080,4.684409,3.682073,3.296436,3.740000
2016-01-31,BBVA,1.802793,3.266604,2.447990,2.017076,2.330000
2016-01-31,BCP,1.707415,2.882124,2.264845,1.945477,2.530000
2016-01-31,BIF,1.332428,2.513963,1.866971,1.685171,1.960000
2016-01-31,CENCOSUD,2.320006,7.961755,6.183875,4.235902,4.980000
2016-01-31,FALABELLA,3.220585,6.364932,4.989601,4.030053,4.350000
2016-01-31,GNB,1.438827,3.086717,2.167217,1.689750,2.010000
2016-01-31,ICBC,3.805166,3.805166,3.805166,3.805166,3.810000
2016-01-31,INTERBANK,1.733124,3.286284,2.594116,2.181476,2.360000
2016-01-31,MIBANCO,2.626356,4.951775,3.986615,3.082698,4.780000
2016-01-31,PICHINCHA,2.967726,4.116809,3.486995,3.176822,4.260000
2016-01-31,RIPLEY,1.340748,4.747319,3.255428,2.205532,2.550000
2016-01-31,SANTANDER,0.371328,0.627844,0.428824,0.371346,0.690000
2016-01-31,SCOTIABANK,2.169259,2.990397,2.704188,2.489578,2.950000
2016-02-29,ALFIN,4.827283,22.100250,14.365592,8.929382,10.970000
2016-02-29,BANCOM,3.040590,4.810535,3.844801,3.323075,3.730000
2016-02-29,BBVA,1.875384,3.301449,2.678974,2.115718,2.420000
2016-02-29,BCP,1.671208,2.879898,2.270843,1.911914,2.510000
2016-02-29,BIF,1.436413,2.680152,1.991313,1.700709,2.170000
2016-02-29,CENCOSUD,1.915240,8.381771,5.488010,3.633563,4.560000
2016-02-29,FALABELLA,3.247925,6.408931,4.992293,4.069342,4.380000
2016-02-29,GNB,1.452903,3.344502,2.255588,1.846866,2.160000
2016-02-29,ICBC,3.605763,3.605763,3.605763,3.605763,3.610000
2016-02-29,INTERBANK,1.785938,3.444069,2.717787,2.269280,2.520000
2016-02-29,MIBANCO,2.445181,4.844527,3.816651,2.988007,4.690000
2016-02-29,PICHINCHA,3.012736,4.481511,3.921663,3.389092,4.400000
2016-02-29,RIPLEY,1.291175,5.092718,3.254925,2.176444,2.550000
2016-02-29,SANTANDER,0.384231,0.618463,0.447677,0.443334,0.560000
2016-02-29,SCOTIABANK,2.320036,3.143192,2.814747,2.604438,3.120000
2016-03-31,ALFIN,4.677940,22.906206,14.585758,8.950907,11.090000
2016-03-31,BANCOM,3.208403,5.280701,4.222980,3.599981,3.880000
2016-03-31,BBVA,1.849928,3.419459,2.510527,2.022121,2.330000
2016-03-31,BCP,1.684364,2.977421,2.321878,1.945797,2.580000
2016-03-31,BIF,1.369538,2.708092,2.045242,1.679074,2.070000
2016-03-31,CENCOSUD,2.044983,8.777785,5.741226,3.378131,4.500000
2016-03-31,FALABELLA,3.361309,7.047044,5.274888,4.113101,4.530000
2016-03-31,GNB,1.404124,3.181640,2.221727,1.724657,1.970000
2016-03-31,ICBC,3.029003,3.029003,3.029003,3.029003,3.030000
2016-03-31,INTERBANK,1.876840,3.490668,2.728272,2.288473,2.490000
2016-03-31,MIBANCO,2.491968,4.919290,3.836252,3.017496,4.730000
2016-03-31,PICHINCHA,2.668654,3.790615,3.324925,3.007306,3.760000
2016-03-31,RIPLEY,1.282600,5.419372,3.457147,2.182916,2.620000
2016-03-31,SANTANDER,0.428910,0.675373,0.514106,0.492718,0.550000
2016-03-31,SCOTIABANK,2.375353,3.252513,2.894907,2.658146,3.200000
2016-04-30,ALFIN,4.549902,22.614952,14.718842,9.002500,11.120000
2016-04-30,BANCOM,3.310632,4.980363,4.119106,3.708020,3.890000
2016-04-30,BBVA,1.833226,3.249561,2.430544,2.004997,2.360000
2016-04-30,BCP,1.731376,3.027077,2.415088,2.011136,2.720000
2016-04-30,BIF,1.465329,2.713962,2.076132,1.784919,2.070000
2016-04-30,CENCOSUD,1.696064,9.485161,6.317777,3.779230,4.980000
2016-04-30,FALABELLA,3.444201,7.341819,5.539501,4.389228,4.800000
2016-04-30,GNB,1.433444,3.028814,2.223070,1.817293,2.000000
2016-04-30,ICBC,2.790948,2.790948,2.790948,2.790948,2.790000
2016-04-30,INTERBANK,1.766109,3.389202,2.656302,2.255388,2.430000
2016-04-30,MIBANCO,2.454065,4.888594,3.847460,2.998014,4.700000
2016-04-30,PICHINCHA,2.680200,3.923330,3.475597,3.143230,3.830000
2016-04-30,RIPLEY,1.285536,5.515123,3.627121,2.357171,2.800000
2016-04-30,SANTANDER,0.477317,0.590108,0.529406,0.497616,0.640000
2016-04-30,SCOTIABANK,2.364903,3.272594,2.908404,2.660164,3.230000
2016-05-31,ALFIN,4.639358,21.787885,14.659312,9.282268,11.250000
2016-05-31,BANCOM,3.061832,4.173908,3.599370,3.341209,3.530000
2016-05-31,BBVA,1.927731,3.377256,2.757495,2.151497,2.440000
2016-05-31,BCP,1.784911,3.156719,2.454169,2.098811,2.820000
2016-05-31,BIF,1.594212,2.765418,2.188222,2.027598,2.230000
2016-05-31,CENCOSUD,1.970104,9.318597,6.598349,4.693666,5.620000
2016-05-31,FALABELLA,3.653418,7.340416,5.723810,4.613071,4.980000
2016-05-31,GNB,1.529506,2.911682,2.272298,1.802781,1.980000
2016-05-31,ICBC,2.646478,2.646478,2.646478,2.646478,2.650000
2016-05-31,INTERBANK,1.897905,3.669850,2.850304,2.447613,2.660000
2016-05-31,MIBANCO,2.480451,4.940123,3.882886,3.109600,4.750000
2016-05-31,PICHINCHA,2.690946,4.022557,3.298706,3.059631,3.940000
2016-05-31,RIPLEY,0.573531,4.638982,2.834246,1.572482,1.980000
2016-05-31,SANTANDER,0.498605,0.569159,0.563571,0.530732,0.580000
2016-05-31,SCOTIABANK,2.480549,3.383504,3.026029,2.804598,3.340000
2016-06-30,ALFIN,4.923917,20.454614,13.831236,9.245866,11.020000
2016-06-30,BANCOM,2.644780,3.004978,2.947419,2.916578,3.170000
2016-06-30,BBVA,2.035404,3.705456,2.731222,2.241306,2.490000
2016-06-30,BCP,1.828904,3.082403,2.498376,2.102275,2.740000
2016-06-30,BIF,1.611963,2.809938,2.206511,2.000821,2.320000
2016-06-30,CENCOSUD,2.579301,9.345023,6.507312,4.273688,5.300000
2016-06-30,FALABELLA,3.893731,7.641915,5.907089,4.831582,5.180000
2016-06-30,GNB,1.507382,2.962743,2.168078,1.787276,2.030000
2016-06-30,ICBC,3.056320,3.056320,3.056320,3.056320,3.060000
2016-06-30,INTERBANK,1.986067,3.645877,2.869459,2.390936,2.670000
2016-06-30,MIBANCO,2.448928,4.931298,3.835095,2.973345,4.740000
2016-06-30,PICHINCHA,2.752541,3.768572,3.354509,3.068752,3.710000
2016-06-30,RIPLEY,0.579586,4.621654,2.834108,1.612952,1.990000
2016-06-30,SANTANDER,0.503684,0.586055,0.537933,0.537341,0.670000
2016-06-30,SCOTIABANK,2.534655,3.491952,3.107754,2.849207,3.460000
2016-07-31,ALFIN,5.660774,18.780472,12.943712,9.145155,10.700000
2016-07-31,BANCOM,2.720023,3.282487,3.064941,2.993542,3.530000
2016-07-31,BBVA,1.927826,3.403846,2.731008,2.125830,2.430000
2016-07-31,BCP,1.833305,3.047420,2.486406,2.117217,2.760000
2016-07-31,BIF,1.707199,2.976163,2.286646,2.085346,2.330000
2016-07-31,CENCOSUD,2.727957,9.634249,6.806050,4.874338,5.800000
2016-07-31,FALABELLA,4.071379,7.702637,6.049734,4.944317,5.290000
2016-07-31,GNB,1.483206,2.998084,2.134325,1.736213,1.950000
2016-07-31,ICBC,2.232119,2.232119,2.232119,2.232119,2.230000
2016-07-31,INTERBANK,1.901964,3.495311,2.783621,2.357610,2.580000
2016-07-31,MIBANCO,2.484788,4.989449,3.865165,2.985314,4.760000
2016-07-31,PICHINCHA,2.746544,3.794136,3.369171,3.044611,3.810000
2016-07-31,RIPLEY,1.383395,5.071449,3.539630,2.408170,2.740000
2016-07-31,SANTANDER,0.532855,0.728933,0.600139,0.600139,0.680000
2016-07-31,SCOTIABANK,2.541703,3.430663,3.101883,2.871083,3.390000
2016-08-31,ALFIN,6.049287,17.985706,12.478240,9.080141,10.540000
2016-08-31,BANCOM,2.883377,3.921237,3.364612,3.130830,4.010000
2016-08-31,BBVA,1.997624,3.314269,2.817638,2.189935,2.480000
2016-08-31,BCP,1.920444,3.204215,2.592106,2.211470,2.800000
2016-08-31,BIF,1.860197,3.116453,2.482518,2.277169,2.480000
2016-08-31,CENCOSUD,2.659937,9.336437,7.376166,4.884508,5.760000
2016-08-31,FALABELLA,4.198870,7.783320,6.166405,5.095716,5.440000
2016-08-31,GNB,1.479086,3.016824,2.062330,1.733230,1.980000
2016-08-31,ICBC,2.163545,2.163545,2.163545,2.163545,2.160000
2016-08-31,INTERBANK,2.044061,3.679021,2.891496,2.438491,2.730000
2016-08-31,MIBANCO,2.532062,4.865524,3.923112,3.056795,4.640000
2016-08-31,PICHINCHA,2.653233,4.162844,3.342289,2.987878,4.050000
2016-08-31,RIPLEY,0.657774,4.344675,2.637818,1.571214,1.900000
2016-08-31,SANTANDER,0.541381,0.688963,0.617924,0.613717,0.700000
2016-08-31,SCOTIABANK,2.573631,3.447087,3.123352,2.888067,3.460000
2016-09-30,ALFIN,6.113752,17.390818,12.005212,8.876184,10.300000
2016-09-30,BANCOM,2.326869,3.415155,3.216375,2.782672,3.400000
2016-09-30,BBVA,2.002217,3.381728,2.597577,2.190171,2.450000
2016-09-30,BCP,1.936173,3.087859,2.561619,2.215821,2.740000
2016-09-30,BIF,1.928724,3.144553,2.531865,2.341051,2.530000
2016-09-30,CENCOSUD,2.765150,9.390045,6.751401,5.046492,5.850000
2016-09-30,FALABELLA,4.309088,8.014659,6.257075,5.199078,5.560000
2016-09-30,GNB,1.427850,3.131536,2.057275,1.649407,2.110000
2016-09-30,ICBC,2.245561,2.245561,2.245561,2.245561,2.250000
2016-09-30,INTERBANK,1.949032,3.615057,2.829480,2.381004,2.620000
2016-09-30,MIBANCO,2.466942,4.791037,3.777709,3.036592,4.570000
2016-09-30,PICHINCHA,2.617698,4.098632,3.701179,3.045808,4.180000
2016-09-30,RIPLEY,0.369770,4.180138,2.444407,1.275324,1.610000
2016-09-30,SANTANDER,0.581487,0.936267,0.662237,0.594435,0.920000
2016-09-30,SCOTIABANK,2.523831,3.364621,3.048382,2.832462,3.320000
2016-10-31,ALFIN,6.201312,16.554460,11.623440,8.649790,9.990000
2016-10-31,BANCOM,2.667997,3.674888,3.444005,3.325345,3.690000
2016-10-31,BBVA,1.975501,3.560227,2.730982,2.176691,2.560000
2016-10-31,BCP,1.983581,3.117132,2.585112,2.257490,2.830000
2016-10-31,BIF,2.072667,3.300308,2.620246,2.439014,2.640000
2016-10-31,CENCOSUD,2.812291,9.415937,6.614357,4.805578,5.670000
2016-10-31,FALABELLA,4.390968,8.389620,6.458450,5.277276,5.670000
2016-10-31,GNB,1.375038,3.116981,2.143315,1.622512,2.170000
2016-10-31,ICBC,2.332439,2.332439,2.332439,2.332439,2.330000
2016-10-31,INTERBANK,2.040527,3.742512,2.915556,2.485117,2.690000
2016-10-31,MIBANCO,2.502915,4.742405,3.775939,3.026414,4.550000
2016-10-31,PICHINCHA,2.689719,4.188880,3.630055,3.335058,4.180000
2016-10-31,RIPLEY,0.410927,4.358214,2.568737,1.386815,1.740000
2016-10-31,SANTANDER,0.572870,0.718575,0.635439,0.574809,0.730000
2016-10-31,SCOTIABANK,2.561118,3.484998,3.109342,2.882926,3.470000
2016-11-30,ALFIN,5.914193,16.008200,11.045934,8.263349,9.580000
2016-11-30,BANCOM,3.083140,3.594864,3.542510,3.339552,3.630000
2016-11-30,BBVA,2.072572,3.534470,2.951399,2.262463,2.680000
2016-11-30,BCP,2.017734,3.094662,2.581634,2.257385,2.790000
2016-11-30,BIF,2.083314,3.251049,2.740647,2.447493,2.610000
2016-11-30,CENCOSUD,2.446776,9.387054,6.570497,4.140267,5.140000
2016-11-30,FALABELLA,4.348084,8.523090,6.624058,5.327521,5.740000
2016-11-30,GNB,1.367413,3.064273,2.277018,1.687360,2.250000
2016-11-30,ICBC,2.395462,2.395462,2.395462,2.395462,2.400000
2016-11-30,INTERBANK,2.031123,3.926237,2.994715,2.485024,2.740000
2016-11-30,MIBANCO,2.484900,4.700998,3.753017,2.958031,4.500000
2016-11-30,PICHINCHA,2.941725,4.043738,3.663155,3.255503,4.040000
2016-11-30,RIPLEY,0.427873,4.562450,2.697127,1.409692,1.780000
2016-11-30,SANTANDER,0.619984,0.687729,0.683685,0.682070,0.700000
2016-11-30,SCOTIABANK,2.602376,3.502740,3.159693,2.913134,3.480000
2016-12-31,ALFIN,5.919923,15.197246,10.666081,8.031406,9.240000
2016-12-31,BANCOM,2.894191,3.357351,3.307305,3.258791,3.340000
2016-12-31,BBVA,1.921878,3.267217,2.604037,2.131068,2.410000
2016-12-31,BCP,1.984822,3.029357,2.528529,2.220747,2.710000
2016-12-31,BIF,2.027375,3.072231,2.538699,2.332458,2.500000
2016-12-31,CENCOSUD,2.641233,9.020962,6.671697,4.842211,5.610000
2016-12-31,FALABELLA,4.367752,8.081096,6.513173,5.361277,5.710000
2016-12-31,GNB,1.416270,2.963527,2.257368,1.668766,2.080000
2016-12-31,INTERBANK,2.036366,3.760158,2.986680,2.477972,2.640000
2016-12-31,MIBANCO,2.450325,4.655221,3.719521,2.921254,4.460000
2016-12-31,PICHINCHA,2.978888,3.907159,3.524677,3.284603,3.980000
2016-12-31,RIPLEY,1.271550,5.043085,3.532030,2.357907,2.690000
2016-12-31,SANTANDER,0.660473,0.848442,0.710174,0.664653,0.690000
2016-12-31,SCOTIABANK,2.254650,3.135969,2.801283,2.569006,3.080000
2017-01-31,ALFIN,5.967157,15.877174,10.871597,8.146819,9.400000
2017-01-31,BANCOM,3.111382,3.843613,3.324352,3.280512,3.910000
2017-01-31,BBVA,2.111739,3.720930,3.004152,2.376395,2.790000
2017-01-31,BCP,2.011313,3.044847,2.564281,2.229098,2.770000
2017-01-31,BIF,2.082524,3.344936,2.661254,2.310900,2.570000
2017-01-31,CENCOSUD,2.944587,9.035035,7.209433,5.111662,5.810000
2017-01-31,FALABELLA,4.690901,8.176930,6.711735,5.663879,5.980000
